SIGLA,DISCIPLINA,TPEI,CURSOS,,,,,,,,,,,,,,,,RECOMENDACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4071-15,PRATICAS DE ENSINO DE QUIMICA II,0-3-0-4,LQ - LICENCIATURA EM QUIMICA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,,,TRANSFORMACOES QUIMICAS,"BIOQUIMICA: ESTRUTURA, PROPRIEDADE E FUNCOES DE BIOMOLECULAS",PRATICAS DE ENSINO DE QUIMICA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4032-15,PRATICAS DE ENSINO DE QUIMICA III,3-0-0-4,LQ - LICENCIATURA EM QUIMICA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),,,,,,,,,,,,,TRANSFORMACOES QUIMICAS,"BIOQUIMICA: ESTRUTURA, PROPRIEDADE E FUNCOES DE BIOMOLECULAS",PRATICAS DE ENSINO DE QUIMICA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0043-22,PRATICAS DE LEITURAS EM CIENCIAS HUMANAS,4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1096-19,PRATICAS DISCURSIVAS DA CIENCIA E EDUCACAO EM CIENCIAS,0-2-0-2,LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),LFIS - LICENCIATURA EM FISICA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LQ - LICENCIATURA EM QUIMICA (OL),LM - LICENCIATURA EM MATEMATICA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3096-22,PRATICAS DO ENSINO DE FISICA NO ENSINO FUNDAMENTAL II,2-2-0-4,LFIS - LICENCIATURA EM FISICA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS0005-19,PRATICAS EM CIENCIAS E HUMANIDADES,1-2-0-4,BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ5022-18,PRATICAS EM LIBRAS,0-4-0-2,LFIS - LICENCIATURA EM FISICA (OL),LQ - LICENCIATURA EM QUIMICA (L),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LQ - LICENCIATURA EM QUIMICA (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,LIBRAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZC017-20,PRATICAS EM NEUROBIOLOGIA MOLECULAR,0-2-0-2,BN - BACHARELADO EM NEUROCIENCIA (OL),,,,,,,,,,,,,,,,INTRODUCAO A NEUROCIENCIA,FUNDAMENTOS DE MORFOFISIOLOGIA HUMANA,NEUROANATOMIA,NEUROBIOLOGIA MOLECULAR E CELULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4033-15,PRATICAS EM QUIMICA VERDE,0-4-0-4,BQ - BACHARELADO EM QUIMICA (OBR),LQ - LICENCIATURA EM QUIMICA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3096-22,PRATICAS EM TEXTOS HISTORICOS DAS CIENCIAS,0-2-0-4,,LFIS - LICENCIATURA EM FISICA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,,,,,HISTORIA E FILOSOFIA DAS CIENCIAS E O ENSINO DE CIENCIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ5023-18,PRATICAS ESCOLARES EM EDUCACAO ESPECIAL E INCLUSIVA,2-2-0-4,LFIS - LICENCIATURA EM FISICA (OBR),LQ - LICENCIATURA EM QUIMICA (L),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZT020-17,PRATICAS ESPECIAIS DO PLANEJAMENTO TERRITORIAL,0-4-0-4,BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,,,,,,,CARTOGRAFIA E GEOPROCESSAMENTO PARA O PLANEJAMENTO TERRITORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1097-19,PRATICAS PEDAGOGICAS E FORMATIVAS EM MUSEUS DE CIENCIAS,2-2-0-4,LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),LFIS - LICENCIATURA EM FISICA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),LQ - LICENCIATURA EM QUIMICA (OL),LM - LICENCIATURA EM MATEMATICA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2140-18,PRIMORDIOS DA FILOSOFIA E CIENCIA ANTIGA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTO012-17,PRINCIPIOS DE ADMINISTRACAO,2-0-0-4,EAER - ENGENHARIA AEROESPACIAL (OBR),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),EBIO - ENGENHARIA BIOMEDICA (OBR),EENE - ENGENHARIA DE ENERGIA (OBR),EGES - ENGENHARIA DE GESTAO (OBR),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",EINF - ENGENHARIA DE INFORMACAO (OBR),EMAT - ENGENHARIA DE MATERIAIS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTI004-17,PRINCIPIOS DE COMUNICACAO,3-1-0-4,EINF - ENGENHARIA DE INFORMACAO (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,TRANSFORMADAS EM SINAIS E SISTEMAS LINEARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB015-17,PRINCIPIOS DE ETICA EM SERVICOS DE SAUDE,2-0-0-3,EBIO - ENGENHARIA BIOMEDICA (OBR),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB009-17,PRINCIPIOS DE IMAGENS MEDICAS,4-0-0-4,EBIO - ENGENHARIA BIOMEDICA (OBR),,,,,,,,,,,,,,,,FENOMENOS ELETROMAGNETICOS,FISICA MEDICA I,FISICA MEDICA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3048-15,PRINCIPIOS DE MECANICA QUANTICA,4-0-0-4,LFIS - LICENCIATURA EM FISICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,FENOMENOS ELETROMAGNETICOS,FISICA QUANTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3049-15,PRINCIPIOS DE TERMODINAMICA,4-0-0-6,BFIS - BACHARELADO EM FISICA (OBR),BQ - BACHARELADO EM QUIMICA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,FENOMENOS TERMICOS,FUNCOES DE VARIAS VARIAVEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTB021-17,PROBABILIDADE,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OBR),,,,,,,,,,,,,,,,CALCULO DE PROBABILIDADE,TEORIA DA MEDIDA E INTEGRACAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZA005-17,PROCESSADORES DIGITAIS EM CONTROLE E AUTOMACAO,3-1-0-4,"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OL)",,,,,,,,,,,,,,,,PROCESSAMENTO DIGITAL DE SINAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCM0505-15,PROCESSAMENTO DA INFORMACAO,3-2-0-5,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),LFIS - LICENCIATURA EM FISICA (OL),LQ - LICENCIATURA EM QUIMICA (OL),LM - LICENCIATURA EM MATEMATICA (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),,,,,,,,,BASES COMPUTACIONAIS DA CIENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZB010-17,PROCESSAMENTO DE IMAGENS MEDICAS,2-2-0-5,EBIO - ENGENHARIA BIOMEDICA (OL),,,,,,,,,,,,,,,,PRINCIPIOS DE IMAGENS MEDICAS,METODOS MATEMATICOS APLICADOS A SISTEMAS BIOMEDICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA041-17,PROCESSAMENTO DE IMAGENS UTILIZANDO GPU,4-0-0-4,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,,MATEMATICA DISCRETA,ALGORITMOS E ESTRUTURAS DE DADOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZI003-17,PROCESSAMENTO DE INFORMACAO EM LINGUAS NATURAIS,3-1-0-4,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),EINF - ENGENHARIA DE INFORMACAO (OL),,,,,,,,,,,,,,,NATUREZA DA INFORMACAO,INTRODUCAO A LINGUISTICA COMPUTACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA017-13,PROCESSAMENTO DE LINGUAGEM NATURAL,4-0-0-4,BN - BACHARELADO EM NEUROCIENCIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,INTELIGENCIA ARTIFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM039-17,PROCESSAMENTO DE MATERIAIS CERAMICOS,3-1-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,MATERIAIS CERAMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM037-17,PROCESSAMENTO DE POLIMEROS,3-1-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,MATERIAIS POLIMERICOS,REOLOGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTC022-15,PROCESSAMENTO DE SINAIS NEURAIS,1-3-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),BN - BACHARELADO EM NEUROCIENCIA (OBR),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,PROCESSAMENTO DA INFORMACAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZI032-17,PROCESSAMENTO DE VIDEO,3-1-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),,,,,,,,,,,,,,,,CODIFICACAO DE SINAIS MULTIMIDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA018-17,PROCESSAMENTO DIGITAL DE IMAGENS,3-1-0-4,BN - BACHARELADO EM NEUROCIENCIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),EINF - ENGENHARIA DE INFORMACAO (OL),,,,,,,,,,,,,PROCESSAMENTO DA INFORMACAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTI006-17,PROCESSAMENTO DIGITAL DE SINAIS,4-0-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),EINF - ENGENHARIA DE INFORMACAO (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",,,,,,,,,,,,,TRANSFORMADAS EM SINAIS E SISTEMAS LINEARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZB004-17,PROCESSAMENTO E ANALISE DE FALHAS EM BIOMATERIAIS,2-3-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),,,,,,,,,,,,,,,,CIENCIA DOS MATERIAIS BIOCOMPATIVEIS,CARACTERIZACAO DE BIOMATERIAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZB003-17,PROCESSAMENTO E ANALISE DE SINAIS BIOMEDICOS,2-2-0-4,EBIO - ENGENHARIA BIOMEDICA (OL),,,,,,,,,,,,,,,,INSTRUMENTACAO BIOMEDICA I,BASES BIOLOGICAS PARA ENGENHARIA II,METODOS MATEMATICOS APLICADOS A SISTEMAS BIOMEDICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM040-17,PROCESSAMENTO E CONFORMACAO DE METAIS I,4-0-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,MATERIAIS METALICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM041-17,PROCESSAMENTO E CONFORMACAO DE METAIS II,4-0-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,MATERIAIS METALICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA042-17,PROCESSO E DESENVOLVIMENTO DE SOFTWARES EDUCACIONAIS,0-4-0-4,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,,PROCESSAMENTO DA INFORMACAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB028-13,PROCESSOS ESTOCASTICOS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,,,INTRODUCAO A PROBABILIDADE E A ESTATISTICA,ANALISE REAL I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ4064-15,PROCESSOS INDUSTRIAIS CERAMICOS,4-0-0-4,BQ - BACHARELADO EM QUIMICA (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ4035-15,PROCESSOS INDUSTRIAIS ORGANICOS E INORGANICOS,4-0-0-4,BQ - BACHARELADO EM QUIMICA (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE031-17,PROCESSOS TERMOQUIMICOS DE CONVERSAO ENERGETICA,2-0-0-4,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,TERMODINAMICA APLICADA I,TERMODINAMICA APLICADA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA033-17,PROGRAMACAO AVANCADA PARA DISPOSITIVOS MOVEIS,0-4-0-4,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,,ALGORITMOS E ESTRUTURAS DE DADOS I,PROGRAMACAO ORIENTADA A OBJETOS,PROGRAMACAO PARA WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZI043-17,PROGRAMACAO BASEADA EM COMPONENTES PARA JOGOS,2-2-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,PROGRAMACAO ESTRUTURADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZI033-17,PROGRAMACAO DE DISPOSITIVOS MOVEIS,0-2-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,PROGRAMACAO ESTRUTURADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZI041-17,PROGRAMACAO DE SOFTWARE EMBARCADO,2-2-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),,,,,,,,,,,,,,,,PROGRAMACAO ESTRUTURADA,SISTEMAS MICROPROCESSADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA028-15,PROGRAMACAO ESTRUTURADA,2-2-0-4,BM - BACHARELADO EM MATEMATICA (OL),EINF - ENGENHARIA DE INFORMACAO (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,PROCESSAMENTO DA INFORMACAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA017-17,PROGRAMACAO MATEMATICA,3-1-0-4,BM - BACHARELADO EM MATEMATICA (OBR),LM - LICENCIATURA EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,ALGEBRA LINEAR,FUNCOES DE UMA VARIAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA018-13,PROGRAMACAO ORIENTADA A OBJETOS,2-2-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),BM - BACHARELADO EM MATEMATICA (OL),,,,,,,,,,,,,PROCESSAMENTO DA INFORMACAO,PROGRAMACAO ESTRUTURADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA019-17,PROGRAMACAO PARA WEB,2-2-0-4,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,,PROGRAMACAO ORIENTADA A OBJETOS,BANCO DE DADOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA020-13,PROGRAMACAO PARALELA,4-0-0-4,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,,PARADIGMAS DE PROGRAMACAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA034-17,PROGRAMACAO SEGURA,2-2-0-4,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,,ALGORITMOS E ESTRUTURAS DE DADOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTC009-15,PROGRESSOS E METODOS EM NEUROCIENCIA,3-1-0-4,BN - BACHARELADO EM NEUROCIENCIA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,INTRODUCAO A NEUROCIENCIA,FUNDAMENTOS DE MORFOFISIOLOGIA HUMANA,NEUROBIOLOGIA MOLECULAR E CELULAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTU040-17,PROJETO AMBIENTAL URBANO,1-3-0-4,EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),,,,,,,,,,,,,,,RECOMENDADA PARA O FINAL DO CURSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTA019-17,PROJETO ASSISTIDO POR COMPUTADOR,0-2-0-3,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",,,,,,,,,,,,,,,FUNDAMENTOS DE DESENHO TECNICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA054-22,PROJETO AVANCADO EM SISTEMAS DE COMPUTACAO,4-0-0-6,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,,ALGORITMOS E ESTRUTURAS DE DADOS I,CIRCUITOS DIGITAIS,SISTEMAS DIGITAIS,ARQUITETURA DE COMPUTADORES,SISTEMAS OPERACIONAIS,COMPILADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZS028-17,PROJETO DE AERONAVES I,4-0-0-6,EAER - ENGENHARIA AEROESPACIAL (OL),,,,,,,,,,,,,,,,AERONAUTICA I-A,AERODINAMICA I,SISTEMAS DE PROPULSAO I,FUNDAMENTOS DE DESENHO TECNICO,MECANICA DOS SOLIDOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZI036-17,PROJETO DE ALTA FREQUENCIA,2-2-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),,,,,,,,,,,,,,,,SISTEMAS DE MICRO-ONDAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZA024-17,PROJETO DE CONTROLE DISCRETO,2-1-0-4,"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OL)",,,,,,,,,,,,,,,,INTRODUCAO AO CONTROLE DISCRETO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTS013-17,PROJETO DE ELEMENTOS ESTRUTURAIS DE AERONAVES I,3-1-0-5,EAER - ENGENHARIA AEROESPACIAL (OBR),,,,,,,,,,,,,,,,TECNICAS DE ANALISE ESTRUTURAL E PROJETO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZS015-17,PROJETO DE ELEMENTOS ESTRUTURAIS DE AERONAVES II,3-1-0-5,EAER - ENGENHARIA AEROESPACIAL (OL),,,,,,,,,,,,,,,,PROJETO DE ELEMENTOS ESTRUTURAIS DE AERONAVES I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZI016-17,PROJETO DE FILTROS DIGITAIS,2-2-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OL)",,,,,,,,,,,,,,,PROCESSAMENTO DIGITAL DE SINAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE113-17,PROJETO DE GERADORES ELETRICOS PARA ENERGIA EOLICA,2-0-0-2,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,ENGENHARIA EOLICA,FUNDAMENTOS DE CONVERSAO DE ENERGIA ELETRICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA029-17,PROJETO DE GRADUACAO EM COMPUTACAO I,0-8-0-8,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA030-17,PROJETO DE GRADUACAO EM COMPUTACAO II,0-8-0-8,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),,,,,,,,,,,,,,,,PROJETO DE GRADUACAO EM COMPUTACAO I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA031-17,PROJETO DE GRADUACAO EM COMPUTACAO III,0-8-0-8,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),,,,,,,,,,,,,,,,PROJETO DE GRADUACAO EM COMPUTACAO I E II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZA014-17,PROJETO DE MICRODISPOSITIVOS PARA INSTRUMENTACAO,3-1-0-4,"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OL)",,,,,,,,,,,,,,,,SENSORES E TRANSDUTORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
